kfg_id,value_register,pct_nonzero,pct_round5,entropy_per_cord,max_hier_level,knot_L_ratio,knot_E_ratio,typology_label,geo_zone,provenance_display,has_pp,has_ip,has_cp,has_sp,has_gg,has_gsb,has_is,has_psn,has_adg,log_value_register,log_entropy_per_cord
CM009,3.5,0.7692307692307693,0.08,0.07383326760571976,0,0.45714285714285713,0.22857142857142856,T1,Central Coast,Purucucho,1,1,1,0,0,0,0,0,1,1.5040773967762742,0.07123473972005467
HM45419A,1.5,0.3333333333333333,0.0,0.21875,0,0.5,0.5,T1,Ica & Paracas,"Ica Valley (Site T, Grave K)",0,0,0,0,0,0,0,0,1,0.9162907318741551,0.19782574332991987
HM45419C,4.0,0.32432432432432434,0.08333333333333333,0.21017126740618342,0,0.5833333333333334,0.4166666666666667,T1,Ica & Paracas,"Ica Valley (Site T, Grave K)",0,0,0,0,0,0,0,0,1,1.6094379124341003,0.1907618929032358
KH0001,60.5,1.0,0.28846153846153844,0.04001809201146759,3,0.47657841140529533,0.002036659877800407,T1,Central Coast,Chuquitanta,1,0,1,1,0,0,0,0,0,4.119037174812473,0.03923810916684246
KH0002,5.0,1.0,0.1935483870967742,0.11910579619482765,2,0.5945945945945946,0.16216216216216217,T1,,Unknown,1,0,0,0,0,0,0,0,0,1.791759469228055,0.11252997016435135
KH0003,8.0,0.8666666666666667,0.3076923076923077,0.2446794605542647,1,0.47058823529411764,0.11764705882352941,T1,,Unknown,1,0,0,0,0,0,0,0,0,2.1972245773362196,0.21887803536559727
KH0004,7.0,1.0,0.1111111111111111,0.30283117299976303,1,0.6666666666666666,0.0,T1,,Unknown,1,0,0,1,1,0,0,0,0,2.0794415416798357,0.2645397218276939
KH0005,100.5,1.0,0.5,0.17892091034234217,1,0.5526315789473685,0.39473684210526316,T1,,Unknown,1,0,0,0,0,0,0,0,0,4.620058798481842,0.1645995373223908
KH0006,2.0,0.847457627118644,0.16,0.05545393284489009,1,0.42105263157894735,0.49122807017543857,T1,,Unknown,1,1,0,0,0,0,1,1,0,1.0986122886681098,0.05397094248867639
KH0007,6.5,0.9565217391304348,0.13636363636363635,0.04925644589164284,1,0.5210084033613446,0.15126050420168066,T1,,Unknown,1,1,1,1,1,0,1,0,0,2.0149030205422647,0.04808176654520941
KH0008,6.5,0.9122807017543859,0.19230769230769232,0.029529346643245694,1,0.45754716981132076,0.12735849056603774,T1,,Unknown,1,1,1,1,1,0,0,1,1,2.0149030205422647,0.029101752803803234
KH0009,63.0,0.788,0.29441624365482233,0.033282874337947556,1,0.34841628959276016,0.03167420814479638,T1,,Unknown,1,1,1,1,1,1,0,0,1,4.1588830833596715,0.03274099034484761
KH0010,25.0,0.42424242424242425,0.5714285714285714,0.23113759647350235,1,0.2,0.2,T1,Central Coast,Pachacamac (Nordenskiöld),1,0,1,0,0,0,0,0,1,3.258096538021482,0.20793861713251263
KH0011,4.0,0.8214285714285714,0.13043478260869565,0.1520459064553393,1,0.6333333333333333,0.06666666666666667,T1,,Unknown,1,1,1,1,0,0,0,0,0,1.6094379124341003,0.14153941083332824
KH0012,25.0,0.8333333333333334,0.2,0.17732196723355073,1,0.6206896551724138,0.0,T1,,Unknown,0,0,0,0,0,0,0,1,0,3.258096538021482,0.16324233992186463
KH0013,2.0,0.36792452830188677,0.1282051282051282,0.06594388448483618,1,0.4186046511627907,0.4418604651162791,T1,,Unknown,1,0,1,0,0,0,0,1,0,1.0986122886681098,0.0638606831618427
KH0014,4.0,0.4666666666666667,0.19047619047619047,0.07717851984932185,0,0.7021276595744681,0.0851063829787234,T1,,Unknown,1,1,1,0,1,1,0,0,1,1.6094379124341003,0.07434514102990214
KH0015,48.0,1.0,0.26666666666666666,0.07169548423222467,2,0.4693140794223827,0.0,T1,,Unknown,1,0,0,1,0,0,0,0,0,3.8918202981106265,0.06924195907880436
KH0016,1.0,0.391304347826087,0.0,0.0,2,0.0,0.5,T1,,Unknown,0,0,0,0,0,0,0,0,0,0.6931471805599453,0.0
KH0017,3.0,1.0,0.2727272727272727,0.23590060165853996,1,0.6428571428571429,0.35714285714285715,T1,,Unknown,1,0,0,0,0,0,0,0,0,1.3862943611198906,0.2117999364315748
KH0018,2.0,0.6923076923076923,0.07407407407407407,0.08609941182201991,1,0.48148148148148145,0.48148148148148145,T1,,Unknown,1,0,1,0,0,0,0,1,0,1.0986122886681098,0.08259275675322321
